PE, avg_PE, time
1.668e+09 ,3.33855e+09 ,0.000176436
1.668e+09 ,3.33855e+09 ,0.000398362
1.668e+09 ,3.33855e+09 ,0.000632474
1.668e+09 ,3.33855e+09 ,0.000891969
1.668e+09 ,3.33855e+09 ,0.00115319
1.66799e+09 ,2.50327e+09 ,0.00135715
1.66799e+09 ,2.50327e+09 ,0.00157428
1.66799e+09 ,2.22485e+09 ,0.00189549
1.66799e+09 ,2.22485e+09 ,0.00208237
1.66799e+09 ,2.22485e+09 ,0.00224649
1.66799e+09 ,2.22485e+09 ,0.00239294
1.66799e+09 ,2.08563e+09 ,0.00259581
1.66797e+09 ,2.0021e+09 ,0.00277615
1.66797e+09 ,2.0021e+09 ,0.0030117
1.66797e+09 ,1.94641e+09 ,0.00325024
1.66797e+09 ,1.94641e+09 ,0.00344912
1.66797e+09 ,1.90663e+09 ,0.00358751
1.66797e+09 ,1.90663e+09 ,0.003784
1.66797e+09 ,1.90663e+09 ,0.00397252
1.66797e+09 ,1.90663e+09 ,0.00415099
1.66793e+09 ,1.8768e+09 ,0.00438356
1.66793e+09 ,1.85359e+09 ,0.00460119
1.66793e+09 ,1.85359e+09 ,0.00480683
1.66793e+09 ,1.85359e+09 ,0.00503829
1.66793e+09 ,1.85359e+09 ,0.00531647
1.66793e+09 ,1.83502e+09 ,0.00560266
1.66793e+09 ,1.81983e+09 ,0.00583182
1.66793e+09 ,1.80717e+09 ,0.00606637
1.66793e+09 ,1.80717e+09 ,0.00629519
1.66793e+09 ,1.79646e+09 ,0.00651643
1.66793e+09 ,1.79646e+09 ,0.00668268
1.66793e+09 ,1.78728e+09 ,0.00687345
1.66793e+09 ,1.78728e+09 ,0.00706157
1.66793e+09 ,1.78728e+09 ,0.00725574
1.66793e+09 ,1.77933e+09 ,0.00742695
1.66793e+09 ,1.77933e+09 ,0.00757665
1.66793e+09 ,1.77236e+09 ,0.0077993
1.66793e+09 ,1.76622e+09 ,0.00800345
1.66792e+09 ,1.76076e+09 ,0.00817188
1.66792e+09 ,1.76076e+09 ,0.00835654
1.66792e+09 ,1.76076e+09 ,0.00852146
1.66792e+09 ,1.76076e+09 ,0.00866397
1.66792e+09 ,1.76076e+09 ,0.00884887
1.66792e+09 ,1.75587e+09 ,0.00901365
1.6679e+09 ,1.75147e+09 ,0.00917674
1.6679e+09 ,1.75147e+09 ,0.00933953
1.6679e+09 ,1.75147e+09 ,0.00948647
