PE, avg_PE, time
-2.7852 ,2.38315e+11 ,0.0102714
-2.7852 ,2.38315e+11 ,0.0104385
-2.7852 ,2.38315e+11 ,0.0105794
-2.7852 ,2.38315e+11 ,0.0107206
-2.7852 ,2.38315e+11 ,0.0108593
-2.7852 ,2.38315e+11 ,0.0110036
-2.7852 ,2.38315e+11 ,0.0111483
-2.7852 ,2.38315e+11 ,0.0112922
-2.7852 ,2.38315e+11 ,0.0114346
-2.7852 ,2.38315e+11 ,0.0115751
-2.7852 ,2.38315e+11 ,0.0117153
-2.7852 ,2.38315e+11 ,0.0118543
-2.7852 ,2.38315e+11 ,0.0119958
-2.7852 ,2.38315e+11 ,0.0121352
-2.7852 ,2.38315e+11 ,0.0122739
-2.7852 ,2.38315e+11 ,0.0124158
-2.7852 ,2.38315e+11 ,0.0125783
-2.7852 ,2.38315e+11 ,0.0127754
-2.7852 ,2.38315e+11 ,0.0129555
-2.7852 ,2.38315e+11 ,0.0131159
-2.7852 ,2.38315e+11 ,0.0132752
-2.7852 ,2.38315e+11 ,0.013441
-2.7852 ,2.38315e+11 ,0.0135997
-2.7852 ,2.38315e+11 ,0.013765
-2.7852 ,2.38315e+11 ,0.0139224
-2.7852 ,2.38315e+11 ,0.0140857
-2.7852 ,2.38315e+11 ,0.0142437
-2.7852 ,2.38315e+11 ,0.0143831
-2.7852 ,2.38315e+11 ,0.0145216
-2.7852 ,2.38315e+11 ,0.0146598
-2.7852 ,2.38315e+11 ,0.0148074
-2.7852 ,2.38315e+11 ,0.0149621
-2.7852 ,2.38315e+11 ,0.015109
-2.7852 ,2.38315e+11 ,0.0152523
-2.7852 ,2.38315e+11 ,0.0153989
-2.7852 ,2.38315e+11 ,0.0155455
-2.7852 ,2.38315e+11 ,0.0156959
-2.7852 ,2.38315e+11 ,0.0158468
-2.7852 ,2.38315e+11 ,0.0159996
-2.7852 ,2.38315e+11 ,0.0161524
-2.7852 ,2.38315e+11 ,0.0163085
-2.7852 ,2.38315e+11 ,0.0164591
-2.7852 ,2.38315e+11 ,0.0166106
-2.7852 ,2.38315e+11 ,0.0167854
-2.7852 ,2.38315e+11 ,0.0169435
-2.7852 ,2.38315e+11 ,0.0170816
-2.7852 ,2.38315e+11 ,0.0172239
-2.7852 ,2.38315e+11 ,0.0173725
-2.7852 ,2.38315e+11 ,0.0175226
-2.7852 ,2.38315e+11 ,0.0176695
-2.7852 ,2.38315e+11 ,0.0178171
-2.7852 ,2.38315e+11 ,0.0179642
-2.7852 ,2.38315e+11 ,0.0181244
-2.7852 ,2.38315e+11 ,0.0182846
-2.7852 ,2.38315e+11 ,0.0184313
-2.7852 ,2.38315e+11 ,0.0185742
-2.7852 ,2.38315e+11 ,0.0187226
-2.7852 ,2.38315e+11 ,0.0188707
-2.7852 ,2.38315e+11 ,0.0190144
-2.7852 ,2.38315e+11 ,0.0191685
-2.7852 ,2.38315e+11 ,0.0193163
-2.7852 ,2.38315e+11 ,0.0194627
-2.7852 ,2.38315e+11 ,0.0196164
-2.7852 ,2.38315e+11 ,0.0197602
-2.7852 ,2.38315e+11 ,0.019897
-2.7852 ,2.38315e+11 ,0.0200398
-2.79297 ,1.19157e+11 ,0.0201818
-2.79297 ,1.19157e+11 ,0.020327
-2.79297 ,1.19157e+11 ,0.0204684
-2.79297 ,1.19157e+11 ,0.0206116
-2.79297 ,1.19157e+11 ,0.0207639
-2.79297 ,1.19157e+11 ,0.0209169
-2.79297 ,1.19157e+11 ,0.021064
-2.79297 ,1.19157e+11 ,0.0212067
-2.79297 ,1.19157e+11 ,0.0213531
-2.79297 ,1.19157e+11 ,0.021491
-2.79297 ,1.19157e+11 ,0.0216306
-2.79297 ,1.19157e+11 ,0.0217747
-2.79297 ,1.19157e+11 ,0.0219141
-2.79297 ,1.19157e+11 ,0.0220524
-2.79297 ,1.19157e+11 ,0.0221925
-3.44865 ,7.94382e+10 ,0.0223359
-3.44865 ,7.94382e+10 ,0.0224822
-3.44865 ,7.94382e+10 ,0.0226285
-3.44865 ,7.94382e+10 ,0.0227747
-3.44865 ,7.94382e+10 ,0.0229151
-3.44865 ,7.94382e+10 ,0.0230604
-3.44865 ,7.94382e+10 ,0.0232031
-3.44865 ,7.94382e+10 ,0.0233465
-3.44865 ,7.94382e+10 ,0.023494
-3.44865 ,7.94382e+10 ,0.0236336
-3.44865 ,7.94382e+10 ,0.0237712
-3.44865 ,7.94382e+10 ,0.0239091
-3.44865 ,7.94382e+10 ,0.0240488
-3.44865 ,7.94382e+10 ,0.0241987
-3.44865 ,7.94382e+10 ,0.024346
-3.44865 ,7.94382e+10 ,0.024488
-3.44865 ,7.94382e+10 ,0.0246306
-3.44865 ,7.94382e+10 ,0.0248012
-3.44865 ,7.94382e+10 ,0.0249557
-3.44865 ,7.94382e+10 ,0.0251002
-3.44865 ,7.94382e+10 ,0.0252512
-3.44865 ,7.94382e+10 ,0.02539
-3.44865 ,7.94382e+10 ,0.0255324
-3.44865 ,7.94382e+10 ,0.0256748
-3.44865 ,7.94382e+10 ,0.0258136
-3.44865 ,7.94382e+10 ,0.0259536
-3.44865 ,7.94382e+10 ,0.0260942
-3.44865 ,7.94382e+10 ,0.0262351
-3.44865 ,7.94382e+10 ,0.0263767
-3.44865 ,7.94382e+10 ,0.0265201
-3.44865 ,7.94382e+10 ,0.0266581
-3.44865 ,7.94382e+10 ,0.026798
-3.44865 ,7.94382e+10 ,0.0269387
-3.44865 ,7.94382e+10 ,0.0270782
-3.44865 ,7.94382e+10 ,0.0272162
-3.44865 ,7.94382e+10 ,0.0273585
-3.44865 ,7.94382e+10 ,0.0275018
-3.44865 ,7.94382e+10 ,0.0276405
-3.44865 ,7.94382e+10 ,0.0277804
-3.44865 ,7.94382e+10 ,0.0279192
-3.44865 ,7.94382e+10 ,0.0280541
-3.44865 ,7.94382e+10 ,0.0281891
-3.7641 ,5.95787e+10 ,0.0283249
-3.7641 ,5.95787e+10 ,0.0284602
-3.7641 ,5.95787e+10 ,0.0285943
-3.7641 ,5.95787e+10 ,0.0287353
-3.7641 ,5.95787e+10 ,0.0288797
-3.7641 ,5.95787e+10 ,0.0290161
-3.7641 ,5.95787e+10 ,0.029151
-3.7641 ,5.95787e+10 ,0.0292867
-3.7641 ,5.95787e+10 ,0.029422
-3.7641 ,5.95787e+10 ,0.0295591
-3.7641 ,5.95787e+10 ,0.0296942
-3.7641 ,5.95787e+10 ,0.0298294
-3.7641 ,5.95787e+10 ,0.0299645
-3.7641 ,5.95787e+10 ,0.0301001
-3.7641 ,5.95787e+10 ,0.0302337
-3.7641 ,5.95787e+10 ,0.0303701
-3.7641 ,5.95787e+10 ,0.0305092
-3.7641 ,5.95787e+10 ,0.0306437
-3.7641 ,5.95787e+10 ,0.0307773
-3.7641 ,5.95787e+10 ,0.0309102
-3.7641 ,5.95787e+10 ,0.0310463
-3.7641 ,5.95787e+10 ,0.0311811
-3.7641 ,5.95787e+10 ,0.0313161
-3.7641 ,5.95787e+10 ,0.0314501
-3.7641 ,5.95787e+10 ,0.0315832
-3.7641 ,5.95787e+10 ,0.0317183
-3.7641 ,5.95787e+10 ,0.031853
-3.7641 ,5.95787e+10 ,0.0319876
-3.7641 ,5.95787e+10 ,0.0321205
-3.7641 ,5.95787e+10 ,0.0322575
-3.7641 ,5.95787e+10 ,0.0323908
-3.7641 ,5.95787e+10 ,0.0325288
-3.7641 ,5.95787e+10 ,0.0326636
-3.7641 ,5.95787e+10 ,0.0328001
-3.7641 ,5.95787e+10 ,0.0329385
-3.7641 ,5.95787e+10 ,0.0330734
-3.7641 ,5.95787e+10 ,0.0332078
-3.7641 ,5.95787e+10 ,0.0333423
-3.7641 ,5.95787e+10 ,0.0334858
-3.7641 ,5.95787e+10 ,0.0336231
-3.7641 ,5.95787e+10 ,0.0337603
-3.7641 ,5.95787e+10 ,0.0338969
-3.7641 ,5.95787e+10 ,0.0340327
-3.7641 ,5.95787e+10 ,0.0341674
-3.7641 ,5.95787e+10 ,0.0343049
-3.7641 ,5.95787e+10 ,0.0344535
-3.7641 ,5.95787e+10 ,0.0345917
-3.7641 ,5.95787e+10 ,0.0347298
-3.7641 ,5.95787e+10 ,0.0348683
-3.7641 ,5.95787e+10 ,0.0350048
-3.7641 ,5.95787e+10 ,0.0351476
-3.7641 ,5.95787e+10 ,0.0352954
-3.7641 ,5.95787e+10 ,0.0354369
-3.7641 ,5.95787e+10 ,0.0355751
-3.7641 ,5.95787e+10 ,0.0357152
-3.7641 ,5.95787e+10 ,0.0358565
-3.7641 ,5.95787e+10 ,0.0359968
-3.7641 ,5.95787e+10 ,0.0361472
-3.7641 ,5.95787e+10 ,0.0362908
-3.7641 ,5.95787e+10 ,0.0364349
